Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210621|3990.00WC,$SPX,"3,990.00",+3.99%,201.70,202.45,203.20,0.00,0.00,unch,0,0,0.00,21.62%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4000.00WC,$SPX,"4,000.00",+3.75%,193.20,193.95,194.70,0.00,0.00,unch,0,0,0.00,21.29%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4010.00WC,$SPX,"4,010.00",+3.51%,184.70,185.50,186.30,0.00,0.00,unch,0,0,0.00,20.95%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4020.00WC,$SPX,"4,020.00",+3.27%,176.40,177.15,177.90,0.00,0.00,unch,0,0,0.00,20.62%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4025.00WC,$SPX,"4,025.00",+3.15%,172.20,172.95,173.70,190.03,190.03,unch,2,0,0.00,20.44%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4030.00WC,$SPX,"4,030.00",+3.03%,168.10,168.85,169.60,0.00,0.00,unch,0,0,0.00,20.27%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4040.00WC,$SPX,"4,040.00",+2.79%,159.80,160.60,161.40,157.97,157.97,unch,5,0,0.00,19.92%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4050.00WC,$SPX,"4,050.00",+2.55%,151.70,152.50,153.30,154.48,154.48,unch,7,0,0.00,19.58%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4060.00WC,$SPX,"4,060.00",+2.31%,143.70,144.45,145.20,141.79,141.79,unch,7,0,0.00,19.23%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4070.00WC,$SPX,"4,070.00",+2.07%,135.70,136.50,137.30,135.56,135.56,unch,3,0,0.00,18.87%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4075.00WC,$SPX,"4,075.00",+1.95%,131.80,132.60,133.40,135.42,135.42,unch,53,0,0.00,18.70%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4080.00WC,$SPX,"4,080.00",+1.83%,127.90,128.70,129.50,128.43,128.43,unch,6,0,0.00,18.46%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4090.00WC,$SPX,"4,090.00",+1.58%,120.10,120.90,121.70,139.85,139.85,unch,4,0,0.00,18.14%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4100.00WC,$SPX,"4,100.00",+1.34%,112.60,113.40,114.20,115.44,115.44,unch,87,0,0.00,17.80%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4110.00WC,$SPX,"4,110.00",+1.10%,105.10,105.90,106.70,108.38,108.38,unch,10,0,0.00,17.43%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4120.00WC,$SPX,"4,120.00",+0.86%,98.00,98.60,99.20,99.85,99.85,unch,9,0,0.00,17.07%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4125.00WC,$SPX,"4,125.00",+0.74%,94.40,95.05,95.70,93.90,93.90,unch,46,0,0.00,16.90%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4130.00WC,$SPX,"4,130.00",+0.62%,90.90,91.50,92.10,0.00,0.00,unch,0,0,0.00,16.72%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4140.00WC,$SPX,"4,140.00",+0.38%,84.00,84.60,85.20,94.66,94.66,unch,2,0,0.00,16.37%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4150.00WC,$SPX,"4,150.00",+0.14%,77.40,77.90,78.40,80.09,80.09,unch,87,0,0.00,16.02%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4160.00WC,$SPX,"4,160.00",-0.10%,70.80,71.40,72.00,68.86,68.86,unch,23,0,0.00,15.68%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4170.00WC,$SPX,"4,170.00",-0.34%,64.60,65.20,65.80,64.27,64.27,unch,15,0,0.00,15.35%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4175.00WC,$SPX,"4,175.00",-0.46%,61.70,62.15,62.60,61.25,61.25,unch,89,0,0.00,15.18%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4180.00WC,$SPX,"4,180.00",-0.58%,58.70,59.25,59.80,58.48,58.48,unch,53,0,0.00,15.02%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4190.00WC,$SPX,"4,190.00",-0.82%,53.00,53.55,54.10,54.72,54.72,unch,48,0,0.00,14.70%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4200.00WC,$SPX,"4,200.00",-1.06%,47.60,48.10,48.60,48.80,48.80,unch,107,0,0.00,14.38%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4210.00WC,$SPX,"4,210.00",-1.30%,42.50,43.05,43.60,44.13,44.13,unch,34,0,0.00,14.09%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4220.00WC,$SPX,"4,220.00",-1.54%,37.80,38.30,38.80,39.89,39.89,unch,151,0,0.00,13.81%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4225.00WC,$SPX,"4,225.00",-1.66%,35.50,36.00,36.50,36.45,36.45,unch,141,0,0.00,13.76%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4230.00WC,$SPX,"4,230.00",-1.78%,33.40,33.90,34.40,33.85,33.85,unch,31,0,0.00,13.53%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4240.00WC,$SPX,"4,240.00",-2.02%,29.30,29.80,30.30,31.15,31.15,unch,37,0,0.00,13.28%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4250.00WC,$SPX,"4,250.00",-2.27%,25.60,26.05,26.50,24.57,24.57,unch,369,0,0.00,13.03%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4260.00WC,$SPX,"4,260.00",-2.51%,22.20,22.65,23.10,23.43,23.43,unch,44,0,0.00,12.80%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4275.00WC,$SPX,"4,275.00",-2.87%,17.70,18.10,18.50,17.40,17.40,unch,388,0,0.00,12.47%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4300.00WC,$SPX,"4,300.00",-3.47%,11.90,12.25,12.60,11.56,11.56,unch,38,0,0.00,12.04%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4325.00WC,$SPX,"4,325.00",-4.07%,7.90,8.15,8.40,8.40,8.40,unch,153,0,0.00,11.84%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4350.00WC,$SPX,"4,350.00",-4.67%,5.10,5.35,5.60,8.87,8.87,unch,1,0,0.00,11.54%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4375.00WC,$SPX,"4,375.00",-5.27%,3.30,3.55,3.80,5.40,5.40,unch,6,0,0.00,11.47%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4400.00WC,$SPX,"4,400.00",-5.87%,2.20,2.38,2.55,4.20,4.20,unch,10,0,0.00,11.48%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4425.00WC,$SPX,"4,425.00",-6.48%,1.45,1.63,1.80,0.00,0.00,unch,0,0,0.00,11.58%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4450.00WC,$SPX,"4,450.00",-7.08%,1.00,1.15,1.30,0.00,0.00,unch,0,0,0.00,11.75%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4475.00WC,$SPX,"4,475.00",-7.68%,0.70,0.83,0.95,0.00,0.00,unch,0,0,0.00,11.94%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4500.00WC,$SPX,"4,500.00",-8.28%,0.50,0.63,0.75,1.15,1.15,unch,1,0,0.00,12.23%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4525.00WC,$SPX,"4,525.00",-8.88%,0.35,0.48,0.60,0.00,0.00,unch,0,0,0.00,12.50%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4550.00WC,$SPX,"4,550.00",-9.48%,0.25,0.38,0.50,0.65,0.65,unch,5,0,0.00,12.83%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4600.00WC,$SPX,"4,600.00",-10.69%,0.15,0.25,0.35,0.00,0.00,unch,0,0,0.00,13.53%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4650.00WC,$SPX,"4,650.00",-11.89%,0.05,0.15,0.25,0.32,0.32,unch,1,0,0.00,14.04%,Call,31,06/21/21,05/21/21,15.25%,13.72%
$SPX|20210621|4700.00WC,$SPX,"4,700.00",-13.09%,0.05,0.13,0.20,0.00,0.00,unch,0,0,0.00,14.97%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4800.00WC,$SPX,"4,800.00",-15.50%,0.05,0.10,0.15,0.00,0.00,unch,0,0,0.00,16.89%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|4900.00WC,$SPX,"4,900.00",-17.91%,0.00,0.08,0.15,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|5000.00WC,$SPX,"5,000.00",-20.31%,0.00,0.08,0.15,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|5100.00WC,$SPX,"5,100.00",-22.72%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
$SPX|20210621|5200.00WC,$SPX,"5,200.00",-25.12%,0.00,0.05,0.10,0.00,0.00,unch,0,0,0.00,0.00%,Call,31,06/21/21,N/A,15.25%,13.72%
